rho,f_noise,routing_gain,oracle_headroom,frac_captured,analytic_frac
0.2375,0.7520833333333333,0.18309129583343628,1.0061712007497157,0.18193873355719362,0.07793421203970692
0.2375,0.7916666666666666,0.17680151305157069,1.0302327665355546,0.17135984121503067,0.06549093448714867
0.2375,0.8312499999999999,0.13995442345380066,1.0061906522882407,0.1390572252615738,0.05304765693459045
0.2375,0.8708333333333333,0.11613617349531495,1.0113926534456052,0.11475546832113286,0.04060437938203217
0.2375,0.9104166666666667,0.07921429487559312,1.0170774950719392,0.07775418913415151,0.02816110182947393
0.2375,0.95,0.03344064788725434,1.014870400216669,0.0328625800823675,0.015717824276915697
0.27708333333333335,0.0,0.4866273031673322,0.9958223217126365,0.4886731667527697,0.306088222576433
0.27708333333333335,0.03958333333333333,0.46331172119863506,0.982132451064135,0.4717783914692806,0.2939722304327824
0.27708333333333335,0.07916666666666666,0.46490865208487625,0.9878956804635118,0.4706134816893936,0.28185623828913203
0.27708333333333335,0.11875,0.4504774912873258,0.9801770118517535,0.45934907446626955,0.26974024614548153
0.27708333333333335,0.15833333333333333,0.43487346067922233,1.007401108473652,0.43168326395570716,0.2576242540018311
0.27708333333333335,0.19791666666666666,0.42443588281013933,0.98235573111974,0.4319625629056642,0.24550826185818062
0.27708333333333335,0.2375,0.41083297553079695,0.9868298567786535,0.41615740572115184,0.2333922697145301
0.27708333333333335,0.27708333333333335,0.3733615859957336,0.977748842070123,0.3817408139744611,0.22127627757087967
0.27708333333333335,0.31666666666666665,0.3864283917585536,0.9943130710827356,0.3886143693051251,0.20916028542722923
0.27708333333333335,0.35624999999999996,0.36520551407090807,0.9863388158973776,0.37011740952326005,0.19704429328357873
0.27708333333333335,0.3958333333333333,0.350246535835693,0.9874108537308682,0.35433532783772165,0.1849283011399283
0.27708333333333335,0.4354166666666667,0.3483932497378886,0.9891308851789914,0.35217993875955833,0.17281230899627778
0.27708333333333335,0.475,0.32211734718779095,0.9957049553773766,0.32346593248921457,0.16069631685262734
0.27708333333333335,0.5145833333333333,0.29721446730689355,0.9848935201473563,0.30183888145173415,0.14858032470897686
0.27708333333333335,0.5541666666666667,0.2865330001243124,0.9804579465160214,0.2922482367423142,0.13646433256532634
0.27708333333333335,0.59375,0.28234304700903934,0.9958877748284979,0.28350777168769786,0.12434834042167588
0.27708333333333335,0.6333333333333333,0.24223894303071514,0.9878234700743139,0.24522990675847514,0.11223234827802545
0.27708333333333335,0.6729166666666666,0.24103586983716152,1.000774425168479,0.24080653868746368,0.100116356134375
0.27708333333333335,0.7124999999999999,0.20967157294222072,0.9934626098507543,0.21105495429912183,0.08800036399072453
0.27708333333333335,0.7520833333333333,0.169350262933773,0.9779476150424387,0.17296428743054407,0.07588437184707401
0.27708333333333335,0.7916666666666666,0.16790304849010695,0.9908549547667665,0.16938894010943684,0.06376837970342353
0.27708333333333335,0.8312499999999999,0.13835860527755064,0.9868329977882495,0.13998890302687986,0.05165238755977309
0.27708333333333335,0.8708333333333333,0.10205251393732662,0.9781665649628648,0.10425441715991453,0.03953639541612259
0.27708333333333335,0.9104166666666667,0.07132981355950584,0.9842754948983697,0.0724187538167295,0.027420403272472124
0.27708333333333335,0.95,0.03419906186360199,0.9904500770193104,0.034441858089352156,0.015304411128821664
0.31666666666666665,0.0,0.47722648711007737,0.9739730078483174,0.4898780108072052,0.29759032242329386
0.31666666666666665,0.03958333333333333,0.4375119553100697,0.9393869170036803,0.46562117673602327,0.2858107054940384
0.31666666666666665,0.07916666666666666,0.4314186374671188,0.95863476537988,0.4499903217759707,0.2740310885647831
0.31666666666666665,0.11875,0.4289882788982169,0.964336527999404,0.44483421659438216,0.26225147163552764
0.31666666666666665,0.15833333333333333,0.3997401316824634,0.9556370858567478,0.41824210205138607,0.2504718547062723
0.31666666666666665,0.19791666666666666,0.40442521754358157,0.9662517456590424,0.4184877294287624,0.23869223777701692
0.31666666666666665,0.2375,0.38654443470449923,0.9677059948974436,0.3994250941151127,0.2269126208477615
0.31666666666666665,0.27708333333333335,0.3906484596240865,0.9723291821588879,0.4017623148446803,0.21513300391850618
