pert,mean_global_err,ridge_embed_err,knn_coexpr_k25_err,oracle_err,best_fixed_err
CLDN6,0.26792911688486737,0.4285147388776143,0.2996157606442769,0.26792911688486737,0.26792911688486737
CNN1,0.5375903844833374,0.4277498523394267,0.5193557143211365,0.4277498523394267,0.5375903844833374
CNNM4,0.5181421637535095,0.7873142759005228,0.5231459935506185,0.5181421637535095,0.5181421637535095
COL1A1,0.49298129479090375,0.4958958029747009,0.50222780307134,0.49298129479090375,0.49298129479090375
COL2A1,0.6747254133224487,0.7701894243558248,0.7454233765602112,0.6747254133224487,0.6747254133224487
CSRNP1,1.5831526915232341,1.47067391872406,1.5752962430318196,1.47067391872406,1.5831526915232341
DLX2,0.46174462636311847,0.5779939293861389,0.4325886368751526,0.4325886368751526,0.46174462636311847
DUSP9,0.45495229959487915,0.7232584754625956,0.44004913171132404,0.44004913171132404,0.45495229959487915
EGR1,0.23003244400024414,0.5681945284207662,0.2779908776283264,0.23003244400024414,0.23003244400024414
ELMSAN1,1.255663553873698,1.3067664702733357,1.280202587445577,1.255663553873698,1.255663553873698
ETS2,0.7615195711453756,0.6524260441462199,0.6301920413970947,0.6301920413970947,0.7615195711453756
FEV,0.6660430232683817,0.787567675113678,0.691241463025411,0.6660430232683817,0.6660430232683817
FOSB,0.6303724249204,0.34294722477595013,0.5525518854459127,0.34294722477595013,0.6303724249204
FOXA1,0.31232374906539917,0.31448471546173096,0.29662036895751953,0.29662036895751953,0.31232374906539917
FOXA3,0.1615429917971293,0.35333601633707684,0.15978709856669107,0.15978709856669107,0.1615429917971293
FOXF1,0.3425590395927429,0.368327001730601,0.31701236963272095,0.31701236963272095,0.3425590395927429
FOXL2,0.23747720321019491,0.24869336684544882,0.24222578605016074,0.23747720321019491,0.23747720321019491
FOXO4,0.20891054471333823,0.3082861701647441,0.21138785282770792,0.20891054471333823,0.20891054471333823
GLB1L2,0.3286224404970805,0.5531133015950521,0.3481751084327698,0.3286224404970805,0.3286224404970805
HES7,0.29797595739364624,0.44873547554016113,0.35942383607228595,0.29797595739364624,0.29797595739364624
HK2,0.38872047265370685,0.542150100072225,0.4062296748161316,0.38872047265370685,0.38872047265370685
HNF4A,0.2808975577354431,0.31013305981953937,0.29986093441645306,0.2808975577354431,0.2808975577354431
HOXA13,0.12416025002797444,0.14302231868108115,0.1499184767405192,0.12416025002797444,0.12416025002797444
HOXB9,0.21097222963968912,0.27037107944488525,0.20294799407323202,0.20294799407323202,0.21097222963968912
HOXC13,0.1276413400967916,0.36796438694000244,0.12609990437825522,0.12609990437825522,0.1276413400967916
IER5L,0.15202073256174722,0.2765606840451558,0.18219465017318726,0.15202073256174722,0.15202073256174722
IGDCC3,0.27967264254887897,0.3469931681950887,0.28229554494222003,0.27967264254887897,0.27967264254887897
IKZF3,0.26000340779622394,0.45022545258204144,0.2709056536356608,0.26000340779622394,0.26000340779622394
IRF1,0.6434695720672607,0.7984601060549418,0.6436842083930969,0.6434695720672607,0.6434695720672607
ISL2,0.5854298075040182,0.6099699139595032,0.586039662361145,0.5854298075040182,0.5854298075040182
JUN,0.28522064288457233,0.43466798464457196,0.2783646782239278,0.2783646782239278,0.28522064288457233
KIF18B,0.3037230372428894,0.3281696637471517,0.31521111726760864,0.3037230372428894,0.3037230372428894
KIF2C,0.49555812279383343,0.5223525762557983,0.511995812257131,0.49555812279383343,0.49555812279383343
KLF1,1.0049804051717122,1.0315847396850586,0.9959506193796793,0.9959506193796793,1.0049804051717122
KMT2A,0.45988420645395917,0.5296563307444254,0.4330085317293803,0.4330085317293803,0.45988420645395917
LHX1,0.5510330001513163,0.8348363240559896,0.5972467660903931,0.5510330001513163,0.5510330001513163
LYL1,0.539132297039032,0.6728419860204061,0.5176181793212891,0.5176181793212891,0.539132297039032
MAML2,1.497955044110616,1.4935930172602336,1.4751890897750854,1.4751890897750854,1.497955044110616
MAP2K3,1.595668872197469,1.5733717282613118,1.5851239760716755,1.5733717282613118,1.595668872197469
MAP2K6,1.5570321877797444,1.5039510329564412,1.5514361063639324,1.5039510329564412,1.5570321877797444
MAP4K3,0.33657199144363403,0.3480057915051778,0.31699200471242267,0.31699200471242267,0.33657199144363403
MAP4K5,0.3215412497520447,0.32159223159154254,0.2928015987078349,0.2928015987078349,0.3215412497520447
MAP7D1,1.0813982884089153,1.192117174466451,1.0781441529591878,1.0781441529591878,1.0813982884089153
MAPK1,0.6799606084823608,0.6794180671374003,0.7222418785095215,0.6794180671374003,0.6799606084823608
MEIS1,0.3714023232460022,0.37001023689905804,0.38088512420654297,0.37001023689905804,0.3714023232460022
MIDN,0.20264387130737305,0.38762126366297406,0.22298429409662882,0.20264387130737305,0.20264387130737305
NCL,0.676950991153717,0.8006889820098877,0.6874276002248129,0.676950991153717,0.676950991153717
NIT1,0.394272784392039,0.533754825592041,0.40295594930648804,0.394272784392039,0.394272784392039
OSR2,0.7563701470692953,1.0295746326446533,0.7746869723002116,0.7563701470692953,0.7563701470692953
PLK4,0.3536815841992696,0.3890215555826823,0.36129822333653766,0.3536815841992696,0.3536815841992696
POU3F2,0.23239239056905112,0.5303516189257304,0.2728051543235779,0.23239239056905112,0.23239239056905112
PRDM1,0.26185689369837445,0.4252999226252238,0.24518924951553345,0.24518924951553345,0.26185689369837445
PRTG,0.33695151408513385,0.4837747613588969,0.2948715289433797,0.2948715289433797,0.33695151408513385
PTPN1,0.21747138102849325,0.25907307863235474,0.2576630512873332,0.21747138102849325,0.21747138102849325
PTPN12,0.43523160616556805,0.3831559618314107,0.3498677810033162,0.3498677810033162,0.43523160616556805
PTPN13,0.3848511377970378,0.3940886656443278,0.38039131959279376,0.38039131959279376,0.3848511377970378
PTPN9,0.3503575325012207,0.5277445514996847,0.3938456376393636,0.3503575325012207,0.3503575325012207
RHOXF2,0.23767419656117758,0.33023472627003986,0.22257161140441895,0.22257161140441895,0.23767419656117758
RREB1,0.30400655666987103,0.3369931181271871,0.26410333315531415,0.26410333315531415,0.30400655666987103
RUNX1T1,0.649260679880778,0.5511486530303955,0.6014272570610046,0.5511486530303955,0.649260679880778
S1PR2,0.4036845763524373,0.6890902916590372,0.4522276123364766,0.4036845763524373,0.4036845763524373
SAMD1,0.15718201796213785,0.6363592942555746,0.13602368036905924,0.13602368036905924,0.15718201796213785
SET,0.4713062644004822,0.8823448022206625,0.49883774916330975,0.4713062644004822,0.4713062644004822
SGK1,0.17962725957234701,0.47985126574834186,0.213128924369812,0.17962725957234701,0.17962725957234701
SLC38A2,1.3885722160339355,1.2725636959075928,1.353662133216858,1.2725636959075928,1.3885722160339355
SLC4A1,0.7749896248181661,0.9506121079126993,0.786584734916687,0.7749896248181661,0.7749896248181661
SLC6A9,0.4715053240458171,0.6117789149284363,0.48862481117248535,0.4715053240458171,0.4715053240458171
SNAI1,0.42803261677424115,0.5520943999290466,0.43184467156728107,0.42803261677424115,0.42803261677424115
SPI1,0.18325738112131754,0.17359026273091635,0.18075106541315714,0.17359026273091635,0.18325738112131754
STIL,0.2386711835861206,0.31758930285771686,0.2528028090794881,0.2386711835861206,0.2386711835861206
TBX2,0.5037998954455057,0.5771729747454325,0.5152812798817953,0.5037998954455057,0.5037998954455057
TBX3,0.6507593790690104,0.8451161781946818,0.6582695245742798,0.6507593790690104,0.6507593790690104
TGFBR2,0.8783377210299174,0.9795130292574564,0.9202186067899069,0.8783377210299174,0.8783377210299174
TMSB4X,0.7028701504071554,0.7576492230097452,0.691204309463501,0.691204309463501,0.7028701504071554
TP73,0.16576637824376425,0.4217315912246704,0.17072425285975137,0.16576637824376425,0.16576637824376425
TSC22D1,0.4561811089515686,0.5448599656422933,0.48533397912979126,0.4561811089515686,0.4561811089515686
UBASH3A,0.22509127855300903,0.2379227081934611,0.22882139682769775,0.22509127855300903,0.22509127855300903
UBASH3B,0.30795206626256305,0.3926517963409424,0.3521859447161357,0.30795206626256305,0.30795206626256305
ZBTB1,0.35548877716064453,0.6340760986010233,0.3937376141548157,0.35548877716064453,0.35548877716064453
ZBTB10,0.2596254348754883,0.22051695982615152,0.2630080779393514,0.22051695982615152,0.2596254348754883
ZBTB25,0.4228450854619344,0.439048707485199,0.42718736330668133,0.4228450854619344,0.4228450854619344
ZC3HAV1,1.366810401280721,1.2823762496312459,1.3901265462239583,1.2823762496312459,1.366810401280721
ZNF318,0.5134891668955485,0.7970185875892639,0.5400343338648478,0.5134891668955485,0.5134891668955485
