pert,mean_global_err,ridge_embed_err,knn_coexpr_k25_err,oracle_err,best_fixed_err
CKAP5,0.3979961673418681,0.47901346286137897,0.40671032667160034,0.3979961673418681,0.40671032667160034
CLP1,0.766291340192159,0.7959938645362854,0.769313395023346,0.766291340192159,0.769313395023346
CLSPN,0.3075209657351176,0.25028695662816364,0.22980310519536337,0.22980310519536337,0.22980310519536337
CLTC,0.46213895082473755,0.7272255420684814,0.5169955492019653,0.46213895082473755,0.5169955492019653
CSTF3,0.6854221026102701,0.7869426012039185,0.6524155537287394,0.6524155537287394,0.6524155537287394
CUL1,0.8524925708770752,0.9938840270042419,0.9497255285580953,0.8524925708770752,0.9497255285580953
CWF19L2,0.5209026137987772,0.7648957967758179,0.5181276003519694,0.5181276003519694,0.5181276003519694
DDX10,0.79525093237559,0.5446674625078837,0.5824498136838278,0.5446674625078837,0.5824498136838278
DDX21,0.7335076729456583,0.48374007145563763,0.42394866545995075,0.42394866545995075,0.42394866545995075
DDX5,1.0295181274414062,0.984165628751119,1.069242040316264,0.984165628751119,1.069242040316264
DKC1,0.7746141950289408,0.8746800223986307,0.6011496384938558,0.6011496384938558,0.6011496384938558
DNMT1,1.0936500628789265,1.0521666208902996,1.0604790846506755,1.0521666208902996,1.0604790846506755
DRAP1,0.7967312733332316,0.8437326749165853,0.7797769904136658,0.7797769904136658,0.7797769904136658
DSN1,0.1711465318997701,0.3517387310663859,0.19202319780985513,0.1711465318997701,0.19202319780985513
DTL,0.25489165385564166,0.4345615903536479,0.2000919977823893,0.2000919977823893,0.2000919977823893
DUT,0.542324960231781,0.5149831573168436,0.4507732192675273,0.4507732192675273,0.4507732192675273
DYNC1H1,0.2733137408892314,0.4874308109283447,0.30540281534194946,0.2733137408892314,0.30540281534194946
EBNA1BP2,0.5348393519719442,0.5053356885910034,0.28759127855300903,0.28759127855300903,0.28759127855300903
EIF1AX,0.47759129603703815,0.665596604347229,0.44720663626988727,0.44720663626988727,0.44720663626988727
EIF2B4,0.32504842678705853,0.446209450562795,0.4521576364835103,0.32504842678705853,0.4521576364835103
EIF4G2,0.48182592789332074,0.7548714876174927,0.5052484075228373,0.48182592789332074,0.5052484075228373
EPRS,0.5128447016080221,0.5698010921478271,0.48278605937957764,0.48278605937957764,0.48278605937957764
EXOSC8,0.5659942825635275,0.5915710926055908,0.6739629507064819,0.5659942825635275,0.6739629507064819
EXOSC9,0.557126502195994,0.508620003859202,0.6671558817227682,0.508620003859202,0.6671558817227682
