pert,mean_global_err,ridge_embed_err,knn_coexpr_k25_err,oracle_err,best_fixed_err
P4HB,0.5374663273493449,0.19635812441507974,0.18079350392023721,0.18079350392023721,0.18079350392023721
PDIA6,0.6783042947451273,0.7064715425173441,0.36066476504007977,0.36066476504007977,0.36066476504007977
PPWD1,0.6251645882924398,0.7561946312586466,0.6767215728759766,0.6251645882924398,0.6767215728759766
PSMA1,0.46829654773076373,0.5693468451499939,0.49554701646169025,0.46829654773076373,0.49554701646169025
PSMD12,0.6090454657872518,1.137477993965149,0.7184932629267374,0.6090454657872518,0.7184932629267374
PSMD4,0.8890978693962097,0.8000211318333944,0.8895352482795715,0.8000211318333944,0.8895352482795715
PTDSS1,0.6224245230356852,0.3598744869232178,0.4166645010312398,0.3598744869232178,0.4166645010312398
QARS,0.7552526195844015,0.8274128238360087,0.7754814823468527,0.7552526195844015,0.7754814823468527
SAMM50,0.3548937439918518,0.3724981943766276,0.29312020540237427,0.29312020540237427,0.29312020540237427
SARS,0.7444117267926534,0.2625650962193807,0.477536141872406,0.2625650962193807,0.477536141872406
SCYL1,0.5741330782572428,0.4391283591588338,0.5852963328361511,0.4391283591588338,0.5852963328361511
SEC61A1,0.773435910542806,1.0523943702379863,0.9563611745834351,0.773435910542806,0.9563611745834351
SEC61B,0.6938384572664896,0.45645274718602497,0.36350764830907184,0.36350764830907184,0.36350764830907184
SEC61G,0.628221333026886,0.805798331896464,0.6692471702893575,0.628221333026886,0.6692471702893575
SEC63,0.6263298988342285,1.128159999847412,0.1959938406944275,0.1959938406944275,0.1959938406944275
SEL1L,0.6706677277882894,0.5503097971280416,0.23711140950520834,0.23711140950520834,0.23711140950520834
SLC35B1,0.6094428300857544,0.2659886876742045,0.0986762245496114,0.0986762245496114,0.0986762245496114
SLC39A7,0.5925883054733276,0.6674050490061442,0.6298544406890869,0.5925883054733276,0.6298544406890869
SLMO2,0.5318989555040995,0.6927283604939779,0.38807864983876544,0.38807864983876544,0.38807864983876544
SOCS1,0.5266900857289633,0.472282608350118,0.3209454615910848,0.3209454615910848,0.3209454615910848
SPCS2,0.610904852549235,0.9011624256769816,0.3722618023554484,0.3722618023554484,0.3722618023554484
SPCS3,0.48600788911183673,0.6070497830708822,0.47802384694417316,0.47802384694417316,0.47802384694417316
SRP68,0.7812408407529196,1.1218934059143066,0.9071844021479288,0.7812408407529196,0.9071844021479288
SRP72,0.7527567346890768,0.9175652464230856,0.3839017351468404,0.3839017351468404,0.3839017351468404
SRPR,0.7848365704218546,0.2698868314425151,0.48130224148432416,0.2698868314425151,0.48130224148432416
SRPRB,0.8844974438349406,1.1072699626286824,0.9543860753377279,0.8844974438349406,0.9543860753377279
STT3A,0.5235418677330017,0.22176961104075113,0.4171968301137288,0.22176961104075113,0.4171968301137288
SYVN1,0.6067959070205688,0.6571014126141866,0.5747933387756348,0.5747933387756348,0.5747933387756348
TARS,0.4989408453305562,0.5289490222930908,0.5110679864883423,0.4989408453305562,0.5110679864883423
TELO2,0.5927329460779825,0.7656029661496481,0.7145673235257467,0.5927329460779825,0.7145673235257467
TIMM23,0.3071018060048421,0.40374207496643066,0.26468318700790405,0.26468318700790405,0.26468318700790405
TIMM44,0.6865256627400717,0.17769598960876465,0.49179603656133014,0.17769598960876465,0.49179603656133014
TMED10,0.5480883717536926,0.2708365321159363,0.14475580056508383,0.14475580056508383,0.14475580056508383
TMED2,0.62358158826828,0.2992885907491048,0.2563598155975342,0.2563598155975342,0.2563598155975342
TMEM167A,0.46804193655649823,0.7392703890800476,0.46858630577723187,0.46804193655649823,0.46858630577723187
TTI1,0.7319668730099996,0.813046415646871,0.8271344502766927,0.7319668730099996,0.8271344502766927
TTI2,0.7170181671778361,1.1703688700993855,0.9153675635655721,0.7170181671778361,0.9153675635655721
UFL1,0.48121798038482666,0.4335369865099589,0.4284442861874898,0.4284442861874898,0.4284442861874898
UFM1,0.5157111684481303,0.742020865281423,0.37645453214645386,0.37645453214645386,0.37645453214645386
XBP1,0.4952457348505656,1.115179975827535,0.47344378630320233,0.47344378630320233,0.47344378630320233
XRN1,0.5238885482152303,0.36341987053553265,0.2811273733774821,0.2811273733774821,0.2811273733774821
YIPF5,0.4896061023076375,0.7449790040651957,0.3559885025024414,0.3559885025024414,0.3559885025024414
