src,dst,seed,ground_truth,metric,pool_n,base_rate,n_reg_in_pool,val_pertema,val_magnitude,val_similarity,val_rand_gate,val_lshuf_gate,delta_pertema_minus_magnitude,enrichment_pertema,p_perm_label,p_perm_magnitude_matched,p_perm_degree_matched
Rest,Stim8hr,42,pathway,prec@25,11231,0.022170777312794942,249,0.04,0.0,0.0,0.0,0.04,0.04,1.8041767068273094,0.5164835164835165,0.5044955044955045,0.48151848151848153
Rest,Stim8hr,42,pathway,prec@50,11231,0.022170777312794942,249,0.04,0.0,0.0,0.0,0.04,0.04,1.8041767068273094,0.26873126873126874,0.24975024975024976,0.2757242757242757
Rest,Stim8hr,42,pathway,prec@100,11231,0.022170777312794942,249,0.02,0.02,0.0,0.02,0.04,0.0,0.9020883534136547,1.0,1.0,1.0
Rest,Stim8hr,43,functional,auroc,11231,0.003383492120024931,38,0.46279394546403535,0.5318126460616833,0.23288403936670946,0.4794584961465578,0.4570020266425915,-0.06901870059764798,,0.3116883116883117,0.18981018981018982,0.3596403596403596
Rest,Stim8hr,43,functional,prec@25,11231,0.003383492120024931,38,0.04,0.0,0.0,0.0,0.0,0.04,11.822105263157894,0.15384615384615385,0.15484515484515485,0.12687312687312688
Rest,Stim8hr,43,functional,prec@50,11231,0.003383492120024931,38,0.02,0.0,0.0,0.0,0.0,0.02,5.911052631578947,0.2787212787212787,0.25874125874125875,0.2547452547452547
Rest,Stim8hr,43,functional,prec@100,11231,0.003383492120024931,38,0.01,0.0,0.0,0.0,0.0,0.01,2.9555263157894736,0.43156843156843155,0.4435564435564436,0.4385614385614386
Rest,Stim8hr,43,pathway,auroc,11231,0.022170777312794942,249,0.5227409364282846,0.5395673021717173,,0.5060513406750294,0.4321992029308273,-0.01682636574343277,,0.5344655344655345,0.9430569430569431,0.5734265734265734
Rest,Stim8hr,43,pathway,prec@25,11231,0.022170777312794942,249,0.04,0.0,0.0,0.12,0.04,0.04,1.8041767068273094,0.5584415584415584,0.5984015984015985,0.5274725274725275
Rest,Stim8hr,43,pathway,prec@50,11231,0.022170777312794942,249,0.02,0.0,0.0,0.06,0.06,0.02,0.9020883534136547,0.7052947052947053,0.7122877122877123,0.7082917082917083
